month,metric,path,value
2023-03,pageviews,/,8583
2023-04,pageviews,/,8424
2023-05,pageviews,/,8332
2023-06,pageviews,/,6810
2023-07,pageviews,/,6293
2023-08,pageviews,/,6220
2023-09,pageviews,/,7941
2023-10,pageviews,/,7766
2023-11,pageviews,/,6670
2023-12,pageviews,/,5725
2024-01,pageviews,/,5181
2024-02,pageviews,/,5433
2024-03,pageviews,/,5693
2024-04,pageviews,/,6969
2024-05,pageviews,/,12211
2024-06,pageviews,/,11852
2024-07,pageviews,/,16356
2024-08,pageviews,/,23613
2024-09,pageviews,/,28275
2024-10,pageviews,/,25487
2024-11,pageviews,/,6148
2024-12,pageviews,/,5290
2025-01,pageviews,/,5081
2025-02,pageviews,/,5263
2025-03,pageviews,/,6935
2025-04,pageviews,/,9307
2025-05,pageviews,/,8859
2025-06,pageviews,/,4848
2025-07,pageviews,/,5510
2025-08,pageviews,/,6049
2025-09,pageviews,/,6472
2025-10,pageviews,/,3646
2025-11,pageviews,/,3513
2025-12,pageviews,/,6120
2026-01,pageviews,/,6714
2026-02,pageviews,/,5928
2026-03,pageviews,/,6962
2026-04,pageviews,/,6930
2026-05,pageviews,/,6442
2026-06,pageviews,/,6805
2026-07,pageviews,/,6333
2026-08,pageviews,/,5545
2026-09,pageviews,/,2790
2020-09,pageviews,/spanish-verb-poder.html,1479
2020-10,pageviews,/spanish-verb-poder.html,1368
2020-11,pageviews,/spanish-verb-poder.html,1229
2020-12,pageviews,/spanish-verb-poder.html,970
2021-01,pageviews,/spanish-verb-poder.html,1475
2021-02,pageviews,/spanish-verb-poder.html,1601
2021-03,pageviews,/spanish-verb-poder.html,1588
2021-04,pageviews,/spanish-verb-poder.html,1452
2021-05,pageviews,/spanish-verb-poder.html,1087
2021-06,pageviews,/spanish-verb-poder.html,786
2021-07,pageviews,/spanish-verb-poder.html,647
2021-08,pageviews,/spanish-verb-poder.html,640
2021-09,pageviews,/spanish-verb-poder.html,711
2021-10,pageviews,/spanish-verb-poder.html,731
2021-11,pageviews,/spanish-verb-poder.html,767
2021-12,pageviews,/spanish-verb-poder.html,588
2022-01,pageviews,/spanish-verb-poder.html,648
2022-02,pageviews,/spanish-verb-poder.html,653
2022-03,pageviews,/spanish-verb-poder.html,566
2022-04,pageviews,/spanish-verb-poder.html,480
2022-05,pageviews,/spanish-verb-poder.html,507
2022-06,pageviews,/spanish-verb-poder.html,372
2022-07,pageviews,/spanish-verb-poder.html,417
2022-08,pageviews,/spanish-verb-poder.html,387
2022-09,pageviews,/spanish-verb-poder.html,421
2022-10,pageviews,/spanish-verb-poder.html,533
2022-11,pageviews,/spanish-verb-poder.html,541
2022-12,pageviews,/spanish-verb-poder.html,487
2023-01,pageviews,/spanish-verb-poder.html,459
2023-02,pageviews,/spanish-verb-poder.html,454
2023-03,pageviews,/spanish-verb-poder.html,589
2023-04,pageviews,/spanish-verb-poder.html,519
2023-05,pageviews,/spanish-verb-poder.html,554
2023-06,pageviews,/spanish-verb-poder.html,425
2023-07,pageviews,/spanish-verb-poder.html,338
2023-08,pageviews,/spanish-verb-poder.html,310
2023-09,pageviews,/spanish-verb-poder.html,325
2023-10,pageviews,/spanish-verb-poder.html,264
2023-11,pageviews,/spanish-verb-poder.html,267
2023-12,pageviews,/spanish-verb-poder.html,271
2024-01,pageviews,/spanish-verb-poder.html,271
2024-02,pageviews,/spanish-verb-poder.html,255
2024-03,pageviews,/spanish-verb-poder.html,158
2024-04,pageviews,/spanish-verb-poder.html,218
2024-05,pageviews,/spanish-verb-poder.html,213
2024-06,pageviews,/spanish-verb-poder.html,199
2024-07,pageviews,/spanish-verb-poder.html,293
2024-08,pageviews,/spanish-verb-poder.html,200
2024-09,pageviews,/spanish-verb-poder.html,168
2024-10,pageviews,/spanish-verb-poder.html,272
2024-11,pageviews,/spanish-verb-poder.html,233
2024-12,pageviews,/spanish-verb-poder.html,185
2025-01,pageviews,/spanish-verb-poder.html,201
2025-02,pageviews,/spanish-verb-poder.html,302
2025-03,pageviews,/spanish-verb-poder.html,267
2025-04,pageviews,/spanish-verb-poder.html,185
2025-05,pageviews,/spanish-verb-poder.html,212
2025-06,pageviews,/spanish-verb-poder.html,219
2025-07,pageviews,/spanish-verb-poder.html,184
2025-08,pageviews,/spanish-verb-poder.html,244
2025-09,pageviews,/spanish-verb-poder.html,218
2025-10,pageviews,/spanish-verb-poder.html,116
2025-11,pageviews,/spanish-verb-poder.html,103
2025-12,pageviews,/spanish-verb-poder.html,143
2026-01,pageviews,/spanish-verb-poder.html,198
2026-02,pageviews,/spanish-verb-poder.html,203
2026-03,pageviews,/spanish-verb-poder.html,264
2026-04,pageviews,/spanish-verb-poder.html,282
2026-05,pageviews,/spanish-verb-poder.html,207
2026-06,pageviews,/spanish-verb-poder.html,133
2026-08,pageviews,/spanish-verb-poder.html,89
2026-09,pageviews,/spanish-verb-poder.html,74
2020-09,pageviews,/contact-us.html,391
2020-10,pageviews,/contact-us.html,529
2020-11,pageviews,/contact-us.html,647
2020-12,pageviews,/contact-us.html,1614
2021-01,pageviews,/contact-us.html,861
2021-02,pageviews,/contact-us.html,700
2021-03,pageviews,/contact-us.html,976
2021-04,pageviews,/contact-us.html,1393
2021-05,pageviews,/contact-us.html,1422
2021-06,pageviews,/contact-us.html,1350
2021-07,pageviews,/contact-us.html,1459
2021-08,pageviews,/contact-us.html,1950
2021-09,pageviews,/contact-us.html,1773
2021-10,pageviews,/contact-us.html,1435
2021-11,pageviews,/contact-us.html,1585
2021-12,pageviews,/contact-us.html,1609
2022-01,pageviews,/contact-us.html,1642
2022-02,pageviews,/contact-us.html,1258
2022-03,pageviews,/contact-us.html,1504
2022-04,pageviews,/contact-us.html,1475
2022-05,pageviews,/contact-us.html,1633
2022-06,pageviews,/contact-us.html,1450
2022-07,pageviews,/contact-us.html,1438
2022-08,pageviews,/contact-us.html,1853
2022-09,pageviews,/contact-us.html,1782
2022-10,pageviews,/contact-us.html,1492
2022-11,pageviews,/contact-us.html,1550
2022-12,pageviews,/contact-us.html,1692
2023-01,pageviews,/contact-us.html,1745
2023-02,pageviews,/contact-us.html,1534
2023-03,pageviews,/contact-us.html,1572
2023-04,pageviews,/contact-us.html,1364
2023-05,pageviews,/contact-us.html,1355
2023-06,pageviews,/contact-us.html,1583
2023-07,pageviews,/contact-us.html,1277
2023-08,pageviews,/contact-us.html,1115
2023-09,pageviews,/contact-us.html,983
2023-10,pageviews,/contact-us.html,952
2023-11,pageviews,/contact-us.html,901
2023-12,pageviews,/contact-us.html,1070
2024-01,pageviews,/contact-us.html,1107
2024-02,pageviews,/contact-us.html,1086
2024-03,pageviews,/contact-us.html,1226
2024-04,pageviews,/contact-us.html,708
2024-05,pageviews,/contact-us.html,636
2024-06,pageviews,/contact-us.html,562
2024-07,pageviews,/contact-us.html,617
2024-08,pageviews,/contact-us.html,573
2024-09,pageviews,/contact-us.html,528
2024-10,pageviews,/contact-us.html,591
2024-11,pageviews,/contact-us.html,658
2024-12,pageviews,/contact-us.html,646
2025-01,pageviews,/contact-us.html,597
2025-02,pageviews,/contact-us.html,587
2025-03,pageviews,/contact-us.html,528
2025-04,pageviews,/contact-us.html,441
2025-05,pageviews,/contact-us.html,506
2025-06,pageviews,/contact-us.html,501
2025-07,pageviews,/contact-us.html,455
2025-08,pageviews,/contact-us.html,444
2025-09,pageviews,/contact-us.html,681
2025-10,pageviews,/contact-us.html,318
2025-11,pageviews,/contact-us.html,284
2025-12,pageviews,/contact-us.html,368
2026-01,pageviews,/contact-us.html,289
2026-02,pageviews,/contact-us.html,348
2026-03,pageviews,/contact-us.html,489
2026-04,pageviews,/contact-us.html,273
2026-05,pageviews,/contact-us.html,403
2026-06,pageviews,/contact-us.html,475
2026-07,pageviews,/contact-us.html,420
2026-08,pageviews,/contact-us.html,283
2026-09,pageviews,/contact-us.html,175
2020-09,pageviews,/french-verb-aller.html,1110
2020-10,pageviews,/french-verb-aller.html,1196
2020-11,pageviews,/french-verb-aller.html,1249
2020-12,pageviews,/french-verb-aller.html,992
2021-01,pageviews,/french-verb-aller.html,1315
2021-02,pageviews,/french-verb-aller.html,1143
2021-03,pageviews,/french-verb-aller.html,1318
2021-04,pageviews,/french-verb-aller.html,1181
2021-05,pageviews,/french-verb-aller.html,1247
2021-06,pageviews,/french-verb-aller.html,1104
2021-07,pageviews,/french-verb-aller.html,1000
2021-08,pageviews,/french-verb-aller.html,927
2021-09,pageviews,/french-verb-aller.html,638
2021-10,pageviews,/french-verb-aller.html,888
2021-11,pageviews,/french-verb-aller.html,608
2021-12,pageviews,/french-verb-aller.html,511
2022-01,pageviews,/french-verb-aller.html,627
2022-02,pageviews,/french-verb-aller.html,543
2022-03,pageviews,/french-verb-aller.html,727
2022-04,pageviews,/french-verb-aller.html,658
2022-05,pageviews,/french-verb-aller.html,465
2022-06,pageviews,/french-verb-aller.html,329
2022-07,pageviews,/french-verb-aller.html,296
2022-08,pageviews,/french-verb-aller.html,297
2022-09,pageviews,/french-verb-aller.html,387
2022-10,pageviews,/french-verb-aller.html,329
2022-11,pageviews,/french-verb-aller.html,287
2022-12,pageviews,/french-verb-aller.html,281
2023-01,pageviews,/french-verb-aller.html,341
2023-02,pageviews,/french-verb-aller.html,325
2023-03,pageviews,/french-verb-aller.html,385
2023-04,pageviews,/french-verb-aller.html,404
2023-05,pageviews,/french-verb-aller.html,408
2023-06,pageviews,/french-verb-aller.html,283
2023-07,pageviews,/french-verb-aller.html,205
2023-08,pageviews,/french-verb-aller.html,240
2023-09,pageviews,/french-verb-aller.html,312
2023-10,pageviews,/french-verb-aller.html,340
2023-11,pageviews,/french-verb-aller.html,479
2023-12,pageviews,/french-verb-aller.html,325
2024-01,pageviews,/french-verb-aller.html,437
2024-02,pageviews,/french-verb-aller.html,539
2024-03,pageviews,/french-verb-aller.html,721
2024-04,pageviews,/french-verb-aller.html,470
2024-05,pageviews,/french-verb-aller.html,536
2024-06,pageviews,/french-verb-aller.html,455
2024-07,pageviews,/french-verb-aller.html,425
2024-08,pageviews,/french-verb-aller.html,560
2024-09,pageviews,/french-verb-aller.html,643
2024-10,pageviews,/french-verb-aller.html,531
2024-11,pageviews,/french-verb-aller.html,377
2024-12,pageviews,/french-verb-aller.html,226
2025-01,pageviews,/french-verb-aller.html,302
2025-02,pageviews,/french-verb-aller.html,516
2025-03,pageviews,/french-verb-aller.html,582
2025-04,pageviews,/french-verb-aller.html,548
2025-05,pageviews,/french-verb-aller.html,544
2025-06,pageviews,/french-verb-aller.html,441
2025-07,pageviews,/french-verb-aller.html,356
2025-08,pageviews,/french-verb-aller.html,521
2025-09,pageviews,/french-verb-aller.html,638
2025-10,pageviews,/french-verb-aller.html,296
2025-11,pageviews,/french-verb-aller.html,237
2025-12,pageviews,/french-verb-aller.html,521
2026-01,pageviews,/french-verb-aller.html,882
2026-02,pageviews,/french-verb-aller.html,1076
2026-03,pageviews,/french-verb-aller.html,655
2026-04,pageviews,/french-verb-aller.html,389
2026-05,pageviews,/french-verb-aller.html,485
2026-06,pageviews,/french-verb-aller.html,534
2026-07,pageviews,/french-verb-aller.html,252
2026-08,pageviews,/french-verb-aller.html,189
2026-09,pageviews,/french-verb-aller.html,120
2020-09,pageviews,/learn-spanish.html,1490
2020-10,pageviews,/learn-spanish.html,1350
2020-11,pageviews,/learn-spanish.html,1310
2020-12,pageviews,/learn-spanish.html,1348
2021-01,pageviews,/learn-spanish.html,1312
2021-02,pageviews,/learn-spanish.html,1127
2021-03,pageviews,/learn-spanish.html,1116
2021-04,pageviews,/learn-spanish.html,1152
2021-05,pageviews,/learn-spanish.html,1029
2021-06,pageviews,/learn-spanish.html,1033
2021-07,pageviews,/learn-spanish.html,1047
2021-08,pageviews,/learn-spanish.html,1072
2021-09,pageviews,/learn-spanish.html,1151
2021-10,pageviews,/learn-spanish.html,869
2021-11,pageviews,/learn-spanish.html,798
2021-12,pageviews,/learn-spanish.html,689
2022-01,pageviews,/learn-spanish.html,742
2022-02,pageviews,/learn-spanish.html,730
2022-03,pageviews,/learn-spanish.html,922
2022-04,pageviews,/learn-spanish.html,762
2022-05,pageviews,/learn-spanish.html,770
2022-06,pageviews,/learn-spanish.html,492
2022-07,pageviews,/learn-spanish.html,538
2022-08,pageviews,/learn-spanish.html,454
2022-09,pageviews,/learn-spanish.html,484
2022-10,pageviews,/learn-spanish.html,506
2022-11,pageviews,/learn-spanish.html,491
2022-12,pageviews,/learn-spanish.html,475
2023-01,pageviews,/learn-spanish.html,556
2023-02,pageviews,/learn-spanish.html,586
2023-03,pageviews,/learn-spanish.html,656
2023-04,pageviews,/learn-spanish.html,577
2023-05,pageviews,/learn-spanish.html,679
2023-06,pageviews,/learn-spanish.html,641
2023-07,pageviews,/learn-spanish.html,584
2023-08,pageviews,/learn-spanish.html,576
2023-09,pageviews,/learn-spanish.html,581
2023-10,pageviews,/learn-spanish.html,581
2023-11,pageviews,/learn-spanish.html,614
2023-12,pageviews,/learn-spanish.html,571
2024-01,pageviews,/learn-spanish.html,839
2024-02,pageviews,/learn-spanish.html,1190
2024-03,pageviews,/learn-spanish.html,893
2024-04,pageviews,/learn-spanish.html,651
2024-05,pageviews,/learn-spanish.html,553
2024-06,pageviews,/learn-spanish.html,540
2024-07,pageviews,/learn-spanish.html,644
2024-08,pageviews,/learn-spanish.html,576
2024-09,pageviews,/learn-spanish.html,570
2024-10,pageviews,/learn-spanish.html,623
2024-11,pageviews,/learn-spanish.html,387
2024-12,pageviews,/learn-spanish.html,359
2025-01,pageviews,/learn-spanish.html,444
2025-02,pageviews,/learn-spanish.html,437
2025-03,pageviews,/learn-spanish.html,504
2025-04,pageviews,/learn-spanish.html,450
2025-05,pageviews,/learn-spanish.html,433
2025-06,pageviews,/learn-spanish.html,398
2025-07,pageviews,/learn-spanish.html,427
2025-08,pageviews,/learn-spanish.html,443
2025-09,pageviews,/learn-spanish.html,800
2025-10,pageviews,/learn-spanish.html,353
2025-11,pageviews,/learn-spanish.html,404
2025-12,pageviews,/learn-spanish.html,726
2026-01,pageviews,/learn-spanish.html,978
2026-02,pageviews,/learn-spanish.html,792
2026-03,pageviews,/learn-spanish.html,891
2026-04,pageviews,/learn-spanish.html,469
2026-05,pageviews,/learn-spanish.html,460
2026-06,pageviews,/learn-spanish.html,468
2026-07,pageviews,/learn-spanish.html,456
2026-08,pageviews,/learn-spanish.html,313
2026-09,pageviews,/learn-spanish.html,227
2020-09,pageviews,/learn-french.html,1171
2020-10,pageviews,/learn-french.html,1261
2020-11,pageviews,/learn-french.html,1334
2020-12,pageviews,/learn-french.html,1173
2021-01,pageviews,/learn-french.html,1275
2021-02,pageviews,/learn-french.html,1091
2021-03,pageviews,/learn-french.html,1322
2021-04,pageviews,/learn-french.html,1085
2021-05,pageviews,/learn-french.html,1172
2021-06,pageviews,/learn-french.html,1132
2021-07,pageviews,/learn-french.html,1044
2021-08,pageviews,/learn-french.html,1113
2021-09,pageviews,/learn-french.html,1017
2021-10,pageviews,/learn-french.html,980
2021-11,pageviews,/learn-french.html,958
2021-12,pageviews,/learn-french.html,719
2022-01,pageviews,/learn-french.html,805
2022-02,pageviews,/learn-french.html,777
2022-03,pageviews,/learn-french.html,883
2022-04,pageviews,/learn-french.html,944
2022-05,pageviews,/learn-french.html,834
2022-06,pageviews,/learn-french.html,553
2022-07,pageviews,/learn-french.html,462
2022-08,pageviews,/learn-french.html,496
2022-09,pageviews,/learn-french.html,452
2022-10,pageviews,/learn-french.html,408
2022-11,pageviews,/learn-french.html,388
2022-12,pageviews,/learn-french.html,433
2023-01,pageviews,/learn-french.html,462
2023-02,pageviews,/learn-french.html,412
2023-03,pageviews,/learn-french.html,505
2023-04,pageviews,/learn-french.html,431
2023-05,pageviews,/learn-french.html,471
2023-06,pageviews,/learn-french.html,445
2023-07,pageviews,/learn-french.html,467
2023-08,pageviews,/learn-french.html,440
2023-09,pageviews,/learn-french.html,506
2023-10,pageviews,/learn-french.html,569
2023-11,pageviews,/learn-french.html,547
2023-12,pageviews,/learn-french.html,562
2024-01,pageviews,/learn-french.html,818
2024-02,pageviews,/learn-french.html,1024
2024-03,pageviews,/learn-french.html,888
2024-04,pageviews,/learn-french.html,570
2024-05,pageviews,/learn-french.html,779
2024-06,pageviews,/learn-french.html,496
2024-07,pageviews,/learn-french.html,610
2024-08,pageviews,/learn-french.html,610
2024-09,pageviews,/learn-french.html,577
2024-10,pageviews,/learn-french.html,584
2024-11,pageviews,/learn-french.html,427
2024-12,pageviews,/learn-french.html,410
2025-01,pageviews,/learn-french.html,443
2025-02,pageviews,/learn-french.html,423
2025-03,pageviews,/learn-french.html,456
2025-04,pageviews,/learn-french.html,457
2025-05,pageviews,/learn-french.html,533
2025-06,pageviews,/learn-french.html,419
2025-07,pageviews,/learn-french.html,404
2025-08,pageviews,/learn-french.html,463
2025-09,pageviews,/learn-french.html,711
2025-10,pageviews,/learn-french.html,331
2025-11,pageviews,/learn-french.html,332
2025-12,pageviews,/learn-french.html,749
2026-01,pageviews,/learn-french.html,989
2026-02,pageviews,/learn-french.html,751
2026-03,pageviews,/learn-french.html,867
2026-04,pageviews,/learn-french.html,418
2026-05,pageviews,/learn-french.html,566
2026-06,pageviews,/learn-french.html,460
2026-07,pageviews,/learn-french.html,480
2026-08,pageviews,/learn-french.html,376
2026-09,pageviews,/learn-french.html,190
2020-09,pageviews,/french-verb-mettre.html,1853
2020-10,pageviews,/french-verb-mettre.html,1476
2020-11,pageviews,/french-verb-mettre.html,1361
2020-12,pageviews,/french-verb-mettre.html,1266
2021-01,pageviews,/french-verb-mettre.html,1151
2021-02,pageviews,/french-verb-mettre.html,1180
2021-03,pageviews,/french-verb-mettre.html,1378
2021-04,pageviews,/french-verb-mettre.html,1056
2021-05,pageviews,/french-verb-mettre.html,1021
2021-06,pageviews,/french-verb-mettre.html,737
2021-07,pageviews,/french-verb-mettre.html,705
2021-08,pageviews,/french-verb-mettre.html,582
2021-09,pageviews,/french-verb-mettre.html,1075
2021-10,pageviews,/french-verb-mettre.html,798
2021-11,pageviews,/french-verb-mettre.html,879
2021-12,pageviews,/french-verb-mettre.html,785
2022-01,pageviews,/french-verb-mettre.html,852
2022-02,pageviews,/french-verb-mettre.html,691
2022-03,pageviews,/french-verb-mettre.html,641
2022-04,pageviews,/french-verb-mettre.html,438
2022-05,pageviews,/french-verb-mettre.html,356
2022-06,pageviews,/french-verb-mettre.html,229
2022-07,pageviews,/french-verb-mettre.html,262
2022-08,pageviews,/french-verb-mettre.html,278
2022-09,pageviews,/french-verb-mettre.html,339
2022-10,pageviews,/french-verb-mettre.html,241
2022-11,pageviews,/french-verb-mettre.html,228
2022-12,pageviews,/french-verb-mettre.html,205
2023-01,pageviews,/french-verb-mettre.html,143
2023-02,pageviews,/french-verb-mettre.html,162
2023-03,pageviews,/french-verb-mettre.html,214
2023-04,pageviews,/french-verb-mettre.html,182
2023-05,pageviews,/french-verb-mettre.html,191
2023-06,pageviews,/french-verb-mettre.html,159
2023-07,pageviews,/french-verb-mettre.html,148
2023-08,pageviews,/french-verb-mettre.html,113
2023-09,pageviews,/french-verb-mettre.html,146
2023-10,pageviews,/french-verb-mettre.html,212
2023-11,pageviews,/french-verb-mettre.html,201
2023-12,pageviews,/french-verb-mettre.html,132
2024-01,pageviews,/french-verb-mettre.html,103
2024-02,pageviews,/french-verb-mettre.html,103
2024-03,pageviews,/french-verb-mettre.html,427
2024-04,pageviews,/french-verb-mettre.html,144
2024-05,pageviews,/french-verb-mettre.html,136
2024-06,pageviews,/french-verb-mettre.html,130
2024-07,pageviews,/french-verb-mettre.html,181
2024-08,pageviews,/french-verb-mettre.html,96
2024-09,pageviews,/french-verb-mettre.html,151
2024-10,pageviews,/french-verb-mettre.html,138
2024-11,pageviews,/french-verb-mettre.html,104
2024-12,pageviews,/french-verb-mettre.html,79
2025-01,pageviews,/french-verb-mettre.html,624
2025-02,pageviews,/french-verb-mettre.html,137
2025-03,pageviews,/french-verb-mettre.html,172
2025-04,pageviews,/french-verb-mettre.html,1933
2025-05,pageviews,/french-verb-mettre.html,134
2025-06,pageviews,/french-verb-mettre.html,130
2025-07,pageviews,/french-verb-mettre.html,130
2025-08,pageviews,/french-verb-mettre.html,151
2025-09,pageviews,/french-verb-mettre.html,244
2025-10,pageviews,/french-verb-mettre.html,104
2025-11,pageviews,/french-verb-mettre.html,84
2025-12,pageviews,/french-verb-mettre.html,117
2026-01,pageviews,/french-verb-mettre.html,154
2026-02,pageviews,/french-verb-mettre.html,198
2026-03,pageviews,/french-verb-mettre.html,213
2026-04,pageviews,/french-verb-mettre.html,266
2026-05,pageviews,/french-verb-mettre.html,274
2026-06,pageviews,/french-verb-mettre.html,596
2026-07,pageviews,/french-verb-mettre.html,263
2026-08,pageviews,/french-verb-mettre.html,99
2026-09,pageviews,/french-verb-mettre.html,74
2020-09,pageviews,/spanish-verb-doler.html,669
2020-10,pageviews,/spanish-verb-doler.html,839
2020-11,pageviews,/spanish-verb-doler.html,819
2020-12,pageviews,/spanish-verb-doler.html,630
2021-01,pageviews,/spanish-verb-doler.html,655
2021-02,pageviews,/spanish-verb-doler.html,799
2021-03,pageviews,/spanish-verb-doler.html,970
2021-04,pageviews,/spanish-verb-doler.html,960
2021-05,pageviews,/spanish-verb-doler.html,604
2021-06,pageviews,/spanish-verb-doler.html,324
2021-07,pageviews,/spanish-verb-doler.html,263
2021-08,pageviews,/spanish-verb-doler.html,225
2021-09,pageviews,/spanish-verb-doler.html,570
2021-10,pageviews,/spanish-verb-doler.html,574
2021-11,pageviews,/spanish-verb-doler.html,662
2021-12,pageviews,/spanish-verb-doler.html,514
2022-01,pageviews,/spanish-verb-doler.html,491
2022-02,pageviews,/spanish-verb-doler.html,514
2022-03,pageviews,/spanish-verb-doler.html,427
2022-04,pageviews,/spanish-verb-doler.html,454
2022-05,pageviews,/spanish-verb-doler.html,383
2022-06,pageviews,/spanish-verb-doler.html,174
2022-07,pageviews,/spanish-verb-doler.html,109
2022-08,pageviews,/spanish-verb-doler.html,125
2022-09,pageviews,/spanish-verb-doler.html,279
2022-10,pageviews,/spanish-verb-doler.html,346
2022-11,pageviews,/spanish-verb-doler.html,331
2022-12,pageviews,/spanish-verb-doler.html,262
2023-01,pageviews,/spanish-verb-doler.html,254
2023-02,pageviews,/spanish-verb-doler.html,319
2023-03,pageviews,/spanish-verb-doler.html,319
2023-04,pageviews,/spanish-verb-doler.html,405
2023-05,pageviews,/spanish-verb-doler.html,353
2023-06,pageviews,/spanish-verb-doler.html,224
2023-07,pageviews,/spanish-verb-doler.html,172
2023-08,pageviews,/spanish-verb-doler.html,171
2023-09,pageviews,/spanish-verb-doler.html,388
2023-10,pageviews,/spanish-verb-doler.html,436
2023-11,pageviews,/spanish-verb-doler.html,443
2023-12,pageviews,/spanish-verb-doler.html,314
2024-01,pageviews,/spanish-verb-doler.html,361
2024-02,pageviews,/spanish-verb-doler.html,504
2024-03,pageviews,/spanish-verb-doler.html,503
2024-04,pageviews,/spanish-verb-doler.html,498
2024-05,pageviews,/spanish-verb-doler.html,440
2024-06,pageviews,/spanish-verb-doler.html,194
2024-07,pageviews,/spanish-verb-doler.html,201
2024-08,pageviews,/spanish-verb-doler.html,173
2024-09,pageviews,/spanish-verb-doler.html,344
2024-10,pageviews,/spanish-verb-doler.html,305
2024-11,pageviews,/spanish-verb-doler.html,225
2024-12,pageviews,/spanish-verb-doler.html,181
2025-01,pageviews,/spanish-verb-doler.html,365
2025-02,pageviews,/spanish-verb-doler.html,480
2025-03,pageviews,/spanish-verb-doler.html,472
2025-04,pageviews,/spanish-verb-doler.html,416
2025-05,pageviews,/spanish-verb-doler.html,416
