refn,uuid,course,english,source_path
127,cb5e899f-1fe5-4158-9c6d-9b8a591bc19a,1,jam,/Volumes/Disc/1Pictures/Flashcard/jam.jpg
341,7b96038b-62e8-4bc2-bd00-843d380e651f,1,niece,/Volumes/Disc/1Pictures/Flashcard/niece.jpg
445,67e24fb3-59d1-473c-b225-4c49d56568a8,1,"lane, path","/Volumes/Disc/1Pictures/Flashcard/lane, path.jpg"
106,3c3e5cc1-37d7-4e34-98b1-084324b8a609,1,there,/Volumes/Disc/1Pictures/Flashcard/there.jpg
53,b152cef3-305c-4a5f-be17-88bf9096a960,1,news (pieces),/Volumes/Disc/1Pictures/Flashcard/news (pieces).jpg
123,f25e51dd-b011-46aa-8ff9-9bfd358a1f81,1,"sweet (confectionary), lolly",/Volumes/Disc/1Pictures/Flashcard/sweet.jpg
182,0c7b62ab-4521-4b79-a0d0-f6a06c09e5d9,1,already,/Volumes/Disc/1Pictures/Flashcard/already.jpg
204,be7842ee-d9ea-4210-8a72-2f7300f6db67,1,straight away (at once),/Volumes/Disc/1Pictures/Flashcard/straight away (at once).jpg
224,a4b3a85f-e73b-4079-98c8-e274c98df283,1,dry,/Volumes/Disc/1Pictures/Flashcard/dry.jpg
234,bb7e04a4-7a38-42bf-944a-3ee12184fc8c,1,to have stomach pains,/Volumes/Disc/1Pictures/Flashcard/have stomach pains.jpg
108,f267e057-8d4e-4e8e-97fc-d137492c259a,1,along,/Volumes/Disc/1Pictures/Flashcard/along.jpg
58,7845a8df-d6a7-45f9-ad6f-76a6727490e1,1,old,/Volumes/Disc/1Pictures/Flashcard/old.jpg
139,064ad957-6b2c-4546-80b5-6ac51cd225f2,1,"taste, flavour","/Volumes/Disc/1Pictures/Flashcard/taste, flavour.jpg"
178,6468a830-91c8-4b98-a1bd-6fd66326bc57,1,at the present time,/Volumes/Disc/1Pictures/Flashcard/at the present time.jpg
190,ed353aa0-8a12-4114-b46f-196b392a0ad8,1,until,/Volumes/Disc/1Pictures/Flashcard/until.jpg
240,09664c99-613c-4ec4-9d54-e963d4521fda,1,well,/Volumes/Disc/1Pictures/Flashcard/well.jpg
76,759328fc-cba2-4614-83f7-167e97e30f98,1,garden,/Volumes/Disc/1Pictures/Flashcard/garden.jpg
78,b42caea6-99a1-4fbe-9e49-9b9a18aed774,1,light,/Volumes/Disc/1Pictures/Flashcard/light.jpg
87,8039b39e-2749-4f69-9fae-f1e7582eaad1,1,to go home,/Volumes/Disc/1Pictures/Flashcard/go home.jpg
140,227b8667-a859-4bc6-93c0-09c6581694e7,1,food (sustenance),/Volumes/Disc/1Pictures/Flashcard/food (sustenance).jpg
221,2b9ee55e-9e9b-4317-87e0-7e1df7745892,1,cloud,/Volumes/Disc/1Pictures/Flashcard/cloud.jpg
271,dbc50d00-fd1b-4d24-982c-a2412ee50aec,1,to enter,/Volumes/Disc/1Pictures/Flashcard/enter.jpg
79,2c1314b9-ff9e-4223-b334-f42a211c3f13,1,house,/Volumes/Disc/1Pictures/Flashcard/house.jpg
94,d6be9089-af2d-4cb9-a392-f4a035ee8389,1,inside,/Volumes/Disc/1Pictures/Flashcard/inside.jpg
146,5973e54b-3bd3-40e3-99fe-a6d76572c2a6,1,slice of bread and butter,/Volumes/Disc/1Pictures/Flashcard/slice of bread and butter.jpg
237,4002c22b-7f9d-4302-ad7f-8feae1bebba5,1,to feel sick,/Volumes/Disc/1Pictures/Flashcard/feel sick.jpg
277,b8ac44f2-fe76-4376-b1cd-7ef18dac5a4c,1,bill (invoice),/Volumes/Disc/1Pictures/Flashcard/bill (invoice).jpg
298,d91d940e-5c65-4876-ae71-18f8d28ba990,1,last,/Volumes/Disc/1Pictures/Flashcard/last.jpg
64,46b25776-2422-4701-ab9b-82b517b1d394,1,chair,/Volumes/Disc/1Pictures/Flashcard/chair.jpg
100,2ddcb1db-560c-4466-ac58-2894cb6d3946,1,opposite,/Volumes/Disc/1Pictures/Flashcard/opposite.jpg
181,63d76afc-ac7c-422f-856c-ed32fae2f2b8,1,from time to time,/Volumes/Disc/1Pictures/Flashcard/from time to time.jpg
223,5a2dd18e-d732-42d1-8ab2-4120fbc418f7,1,rain,/Volumes/Disc/1Pictures/Flashcard/rain.jpg
253,6206cabf-a16c-486e-8802-eace466961bc,1,health,/Volumes/Disc/1Pictures/Flashcard/health.jpg
34,e4d12729-6c66-4284-b1b2-d0465a370a39,1,"older, oldest (m)","/Volumes/Disc/1Pictures/Flashcard/older, oldest.jpg"
125,b1b7a2b3-c0da-41e9-9d1e-cd96ce77210b,1,"crisps, potato chips (hard)","/Volumes/Disc/1Pictures/Flashcard/crisps, potato chips (hard).jpg"
184,c33abf97-c058-46f2-9ffa-761272282783,1,since,/Volumes/Disc/1Pictures/Flashcard/since.jpg
196,2b31adef-80b5-4ea7-97d5-8e9c8d80e949,1,night,/Volumes/Disc/1Pictures/Flashcard/night.jpg
236,b3c0acd0-764a-42f0-b8ea-f0fc8400ded4,1,to have a headache,/Volumes/Disc/1Pictures/Flashcard/have a headache.jpg
256,7feca92c-1079-4984-a529-67bf363d79a2,1,to feel,/Volumes/Disc/1Pictures/Flashcard/feel.jpg
273,4c1ea452-c7df-4ef7-b050-fd9c91cb2a2d,1,fork,/Volumes/Disc/1Pictures/Flashcard/fork.jpg
325,8d857dff-3742-4cf3-95c3-e8a43ae8237f,1,cousin (m/f),/Volumes/Disc/1Pictures/Flashcard/cousin.jpg
336,6209092d-f89f-42ab-8bd3-70d81b27bb23,1,"Mom, Mum","/Volumes/Disc/1Pictures/Flashcard/Mom, Mum.jpg"
389,69ad84e1-aa66-4e58-93f0-4d54b60239bc,1,gas,/Volumes/Disc/1Pictures/Flashcard/gas.jpg
450,07d53ccd-44ae-4ede-810f-299f92c61d13,1,noise,/Volumes/Disc/1Pictures/Flashcard/noise.jpg
470,5da4d531-ac2f-481c-9698-f5034145625c,1,"sidewalk, pavement","/Volumes/Disc/1Pictures/Flashcard/sidewalk, pavement.jpg"
112,ac6cf81e-fa42-4aa5-9292-090dd8732592,1,this way,/Volumes/Disc/1Pictures/Flashcard/this way.jpg
284,a68dba4d-3383-434c-98ee-2e825705fc9d,1,sugar,/Volumes/Disc/1Pictures/Flashcard/sugar.jpg
433,cc65699d-ce97-4375-9391-7ba3aef46c5e,1,"dark, deep colours","/Volumes/Disc/1Pictures/Flashcard/dark, deep colours.jpg"
482,268618c4-25e4-4ca9-a15c-31a37c475e33,1,excellent,/Volumes/Disc/1Pictures/Flashcard/excellent.jpg
545,76a62f6a-9382-4771-b1a8-03c4ce5f285b,1,to invite,/Volumes/Disc/1Pictures/Flashcard/invite.jpg
116,8e0adc4c-5551-4db5-84ab-521ab10631e8,1,near,/Volumes/Disc/1Pictures/Flashcard/near.jpg
297,5a7cc14a-97c9-44af-bf56-c3341c577634,1,"outside, out","/Volumes/Disc/1Pictures/Flashcard/outside, out.jpg"
382,d9e4d9e7-8d88-4099-ae2d-e478fd7b1813,1,kitchen,/Volumes/Disc/1Pictures/Flashcard/kitchen.jpg
473,da0f3407-9e72-49f2-b8b0-d3af1e446b09,1,awful,/Volumes/Disc/1Pictures/Flashcard/awful.jpg
484,dc2f3e0a-1545-4d70-aca2-54980de9a109,1,"tall, high","/Volumes/Disc/1Pictures/Flashcard/tall, high.jpg"
494,fa90c4aa-d468-41f6-a456-4291921f022e,1,possible,/Volumes/Disc/1Pictures/Flashcard/possible.jpg
119,ec7e2454-ee7e-413b-a711-4d7385939615,1,towards,/Volumes/Disc/1Pictures/Flashcard/towards.jpg
313,d26cf14c-e68a-4af8-8df2-3c20fa1cb585,1,some (m),/Volumes/Disc/1Pictures/Flashcard/some.jpg
479,4044ede7-de82-4724-acbc-3e5f18c88318,1,difficult,/Volumes/Disc/1Pictures/Flashcard/difficult.jpg
552,6cd1838c-256f-4ceb-bfcb-05928ba2026c,1,to stay,/Volumes/Disc/1Pictures/Flashcard/stay.jpg
562,ce3b8a76-bb3e-4828-a957-eaa1e6d63030,1,beef,/Volumes/Disc/1Pictures/Flashcard/beef.jpg
572,05f4eff5-c119-4f98-a326-0f3802f23863,1,seafood,/Volumes/Disc/1Pictures/Flashcard/seafood.jpg
120,84603460-f0cb-4d37-a68f-4d64ed8714cc,1,to be hungry,/Volumes/Disc/1Pictures/Flashcard/be hungry.jpg
319,0eddb9a9-905d-4279-b22e-f92c7eaa3d97,1,very,/Volumes/Disc/1Pictures/Flashcard/very.jpg
444,b55685f8-5884-46c8-8e8f-b2ce001f6e78,1,poster,/Volumes/Disc/1Pictures/Flashcard/poster.jpg
495,a100b2fd-0327-4b70-ad87-dd5b7f3a6989,1,ready,/Volumes/Disc/1Pictures/Flashcard/ready.jpg
599,55bb0276-a80d-4356-a74a-5de591815b0d,1,"home, place of residence","/Volumes/Disc/1Pictures/Flashcard/home, place of residence.jpg"
131,2f79ad7f-fc02-4b47-87a3-493f69a37aba,1,toasted cheese sandwich with fried egg,/Volumes/Disc/1Pictures/Flashcard/toasted cheese sandwich with fried egg.jpg
406,5977a647-9309-4089-97e8-418c8081133c,1,cherry,/Volumes/Disc/1Pictures/Flashcard/cherry.jpg
447,61eb51cb-bf5d-4bc2-b2a4-fc55bf4f1a02,1,avenue,/Volumes/Disc/1Pictures/Flashcard/avenue.jpg
498,767fff3b-da0f-4338-8f86-7db21c3894bc,1,surprising,/Volumes/Disc/1Pictures/Flashcard/surprising.jpg
551,e0f7ef7f-23f2-427a-8f88-f9d9195f78a3,1,to answer,/Volumes/Disc/1Pictures/Flashcard/answer.jpg
602,e611b8a7-b0e1-41e0-a527-092bf236ab8f,1,form,/Volumes/Disc/1Pictures/Flashcard/form.jpg
133,808ce32c-e2b1-4837-b3a9-7e979e0698b0,1,lunch,/Volumes/Disc/1Pictures/Flashcard/lunch.jpg
462,0482188e-6b19-4d91-b0df-7ec2063418c8,1,to live in,/Volumes/Disc/1Pictures/Flashcard/live in.jpg
503,e76ff56d-522b-4e06-9244-4107d88b8778,1,a lot,/Volumes/Disc/1Pictures/Flashcard/a lot.jpg
608,e204660d-d269-4f2b-ba0f-a8de3160b42e,1,packet,/Volumes/Disc/1Pictures/Flashcard/packet.jpg
619,341aa37e-1a90-4a66-a375-6c9fc5e3f8d4,1,brush,/Volumes/Disc/1Pictures/Flashcard/brush.jpg
536,727f5c0a-944b-4a49-964f-8245efc09758,1,to call,/Volumes/Disc/1Pictures/Flashcard/call.jpg
142,5b1d3c74-31bd-469d-8f29-0d0b3d26aa44,1,bread,/Volumes/Disc/1Pictures/Flashcard/bread.jpg
486,fa9ec2ad-985e-4720-8213-158be5584d7b,1,impossible,/Volumes/Disc/1Pictures/Flashcard/impossible.jpg
496,51181bd7-d1c5-4ff4-b48f-d32c8dde438d,1,next,/Volumes/Disc/1Pictures/Flashcard/next.jpg
528,9bc20566-b9f8-4ff1-b880-46b812adacfe,1,please,/Volumes/Disc/1Pictures/Flashcard/please (formal).jpg
579,bc799675-393b-451f-b59e-87c85ffe135d,1,roast meat,/Volumes/Disc/1Pictures/Flashcard/roast meat.jpg
141,7bbaf9b6-222b-4908-a1fc-8d475fc81622,1,egg,/Volumes/Disc/1Pictures/Flashcard/egg.jpg
487,6a6aa307-09cf-4af6-875f-279f3cf0231c,1,incredible,/Volumes/Disc/1Pictures/Flashcard/incredible.jpg
497,6a4372ac-1e33-4405-8344-0bd847a73830,1,dirty,/Volumes/Disc/1Pictures/Flashcard/dirty.jpg
540,095370f4-c87b-4756-a7c2-7f140de3c3c5,1,to know (a person or place),/Volumes/Disc/1Pictures/Flashcard/know (a person or place).jpg
560,71eec128-74f5-4988-91da-981f9eb790a2,1,beer,/Volumes/Disc/1Pictures/Flashcard/beer.jpg
633,4d6a4c7e-7091-4fd6-83f9-07a4920cc945,1,towel,/Volumes/Disc/1Pictures/Flashcard/towel.jpg
512,07592803-1ee5-4cd4-8540-2bd4a17e97bb,1,"there isn't any, there aren't any","/Volumes/Disc/1Pictures/Flashcard/there isnt any, there arent any.jpg"
522,3af40db1-cd7c-4251-8fbf-f537414482aa,1,almost,/Volumes/Disc/1Pictures/Flashcard/almost.jpg
627,a4feb45f-2bc4-49ad-b25f-fa9990fd4e6a,1,comb,/Volumes/Disc/1Pictures/Flashcard/comb.jpg
819,b1b2ef2c-2068-4ddf-8a57-3f13ae28190e,1,to get up,/Volumes/Disc/1Pictures/Flashcard/get up.jpg
850,9a2a72ab-3d15-4d35-9f7a-57897a2471b4,1,"journey, voyage","/Volumes/Disc/1Pictures/Flashcard/journey, voyage.jpg"
521,e0ef743a-c916-450d-b501-fe693f3b11c5,1,to be able,/Volumes/Disc/1Pictures/Flashcard/be able.jpg
533,30deccb5-25ff-4f76-862b-03c425de0690,1,to help,/Volumes/Disc/1Pictures/Flashcard/help.jpg
656,9d690634-d2c8-40b8-a015-53c6a31b5773,1,eye,/Volumes/Disc/1Pictures/Flashcard/eye.jpg
676,e733bb99-8555-4e42-b68b-a57ac4f4f8f0,1,driver,/Volumes/Disc/1Pictures/Flashcard/driver.jpg
741,3d86b95c-bc58-4069-8e90-0be4e4843ac5,1,to jump,/Volumes/Disc/1Pictures/Flashcard/jump.jpg
557,bc3ef643-d778-4d0e-8230-745e698bc993,1,alcohol,/Volumes/Disc/1Pictures/Flashcard/alcohol.jpg
577,823864b6-b756-49f1-a28f-e8d47a78c295,1,fish,/Volumes/Disc/1Pictures/Flashcard/fish.jpg
609,2d1d13a0-973f-4555-8e2c-6afc139b5d05,1,coin,/Volumes/Disc/1Pictures/Flashcard/coin.jpg
660,583b3bca-9acd-4e8c-8dba-2ed98e48e6da,1,"breast, chest","/Volumes/Disc/1Pictures/Flashcard/breast, chest.jpg"
700,ea066410-a631-40e5-bdad-46e2d79883d2,1,to spend (money),/Volumes/Disc/1Pictures/Flashcard/spend (money).jpg
124,48f99db3-e8cb-4637-9ba8-87969fabb6df,1,cereals,/Volumes/Disc/1Pictures/Flashcard/cereals.jpg
596,fc5bafe0-ef53-44b3-8cb0-c662ba365832,1,to count,/Volumes/Disc/1Pictures/Flashcard/count.jpg
744,30d68b21-b2d4-4fb1-8c42-0c7159bcce8b,1,to pull,/Volumes/Disc/1Pictures/Flashcard/pull.jpg
755,769126c7-8d91-4a53-a9d9-19513f0a9c61,1,jeans,/Volumes/Disc/1Pictures/Flashcard/jeans.jpg
765,83f3fbe1-04ba-40a0-83d7-2526e49ac99f,1,sweater,/Volumes/Disc/1Pictures/Flashcard/sweater.jpg
134,a64a8c5a-4108-4541-84e8-4f315f73a642,1,dessert,/Volumes/Disc/1Pictures/Flashcard/dessert.jpg
600,f29f1c65-4aea-4c32-b9df-bf995d8954fb,1,to borrow,/Volumes/Disc/1Pictures/Flashcard/borrow.jpg
632,4bfbaf73-e5ea-40eb-b5e6-f2714e7ac313,1,to shave,/Volumes/Disc/1Pictures/Flashcard/shave.jpg
652,d495f014-42a3-4699-bd9e-3fadc47e6f9a,1,hand,/Volumes/Disc/1Pictures/Flashcard/hand.jpg
737,0bdda7f3-6ea0-46f6-b327-98326edc2b3b,1,to push,/Volumes/Disc/1Pictures/Flashcard/push.jpg
794,2f656885-a583-4646-9e5d-4897941207a3,1,to use (wear out),/Volumes/Disc/1Pictures/Flashcard/to use (1).jpg
180,1b87be14-9c30-40fa-90e3-6bd4cf85bc26,1,soon,/Volumes/Disc/1Pictures/Flashcard/soon.jpg
643,db70f932-bfc9-40fe-bc5a-39df3fcdde20,1,finger,/Volumes/Disc/1Pictures/Flashcard/finger.jpg
760,72d6bb1f-8e47-4bb7-bcd8-7151d116d441,1,overcoat,/Volumes/Disc/1Pictures/Flashcard/overcoat.jpg
795,184ed8e1-40f7-4f49-b582-c18fafcb1b54,1,to come,/Volumes/Disc/1Pictures/Flashcard/come.jpg
845,d7d27de7-dcc0-4576-9f0f-519db02e9b08,1,ticket (t…),/Volumes/Disc/1Pictures/Flashcard/ticket (2).jpg
886,5c9345d2-10ec-4756-a791-d1084107cea7,1,"animal, creature","/Volumes/Disc/1Pictures/Flashcard/animal, creature.jpg"
188,7a71258b-105f-4502-b0dd-4296b898d1cc,1,day (moment in time),/Volumes/Disc/1Pictures/Flashcard/day (period of time).jpg
649,0b104807-4e3c-44ea-86d1-6e799cc30ff8,1,leg,/Volumes/Disc/1Pictures/Flashcard/leg.jpg
699,49cc56ae-b10f-4a8d-ba28-03ac1909d4c2,1,to cost,/Volumes/Disc/1Pictures/Flashcard/cost.jpg
734,5814cd2e-3c43-4b63-b79d-282bc9955a6e,1,to walk,"/Volumes/Disc/1Pictures/Flashcard/walk ,v.jpg"
922,f072306f-4750-4e2f-9f3e-f1971e18e1df,1,to die,/Volumes/Disc/1Pictures/Flashcard/die.jpg
193,10b0184f-fa83-475d-83a7-0348f760b837,1,morning (period of time),/Volumes/Disc/1Pictures/Flashcard/morning (period of time).jpg
655,32afab3e-e252-409e-ba83-3734a1fb44f8,1,nose,/Volumes/Disc/1Pictures/Flashcard/nose.jpg
675,5749973c-853c-4242-8cd8-81f8e1916949,1,"to validate, to date stamp a ticket",/Volumes/Disc/1Pictures/Flashcard/validate - to date stamp a ticket.jpg
730,6fb3eb64-09b5-49ea-9b32-bd2c08243a13,1,to hear,/Volumes/Disc/1Pictures/Flashcard/hear.jpg
837,9e236f86-13bd-4637-bf7b-c7417a968b00,1,to leave (p…),/Volumes/Disc/1Pictures/Flashcard/to leave (1).jpg
671,d9531a27-2867-4a17-bdd0-c0ee8e1cbd8e,1,bus,/Volumes/Disc/1Pictures/Flashcard/bus.jpg
29,e5bbf5ad-5912-4e5a-b1c0-2c7ea09e91c2,1,you (formal),/Volumes/Disc/1Pictures/Flashcard/you (formal).jpg
843,0d3dd1ef-6fb7-488d-907c-eddcfd193127,1,information,/Volumes/Disc/1Pictures/Flashcard/information.jpg
854,4b34e7c6-cbc6-4c35-8d19-781871eb5965,1,see you tomorrow!,/Volumes/Disc/1Pictures/Flashcard/see you tomorrow!.jpg
864,7415cae0-ccd6-4c93-84bc-d098ec2b7d91,1,welcome,/Volumes/Disc/1Pictures/Flashcard/welcome.jpg
15,692e2ccb-3478-4faa-97e7-445c1b23a2f4,1,to be,/Volumes/Disc/1Pictures/Flashcard/be.jpg
706,1f2ed469-47fe-4449-8783-a936b1b72541,1,shop,/Volumes/Disc/1Pictures/Flashcard/shop.jpg
846,4b09f67a-1699-4b8d-86e9-ff7e91375edc,1,journey,/Volumes/Disc/1Pictures/Flashcard/journey.jpg
735,0a016979-9ba2-43a3-a51b-37cb2c4da51a,1,to put,/Volumes/Disc/1Pictures/Flashcard/put.jpg
973,01c2e410-125a-4889-8464-e66d097ab091,1,big,/Volumes/Disc/1Pictures/Flashcard/big.jpg
872,ef734826-706d-4c7a-8b16-50d3e19ab564,1,certainly,/Volumes/Disc/1Pictures/Flashcard/certainly.jpg
1003,1a25d30d-a8b8-4040-a9e3-fbb3ef023f3c,1,sea,/Volumes/Disc/1Pictures/Flashcard/sea.jpg
753,35acba12-2340-40b3-a709-19aa109a2dcf,1,blouse,/Volumes/Disc/1Pictures/Flashcard/blouse.jpg
880,5455eca8-3827-4c66-b3e7-0be7fc433d44,1,what a pity!,/Volumes/Disc/1Pictures/Flashcard/what a pity!.jpg
917,d43255a6-1346-429b-9fdd-fe6d1d1d3349,1,"liberty, freedom",/Volumes/Disc/1Pictures/Flashcard/liberty - freedom.jpg
868,1e2649ab-60b9-464c-95ce-75f96a61fb26,1,that's to say,/Volumes/Disc/1Pictures/Flashcard/thats to say.jpg
869,93e9e1be-1681-49ce-a7e1-8e8376fb1f94,1,gosh!,/Volumes/Disc/1Pictures/Flashcard/gosh!.jpg
929,025024e3-90c4-4377-a074-e29085ec6b24,1,to smile,/Volumes/Disc/1Pictures/Flashcard/smile.jpg
870,99977511-2416-416f-a895-45db365b7940,1,that's enough!,/Volumes/Disc/1Pictures/Flashcard/thats enough.jpg
32,edfdede8-8737-454a-a013-3cb9677cb858,1,age,/Volumes/Disc/1Pictures/Flashcard/age.jpg
814,2cbd4286-76d4-4893-b30f-cc831dfd59e1,1,alarm clock,/Volumes/Disc/1Pictures/Flashcard/alarm clock.jpg
1005,52802bc8-0645-4435-89a9-9cf3e417f48b,1,mountain,/Volumes/Disc/1Pictures/Flashcard/mountain.jpg
1025,6a0822c0-57b0-4f04-9423-755e9a440eed,1,player,/Volumes/Disc/1Pictures/Flashcard/player.jpg
179,302d1c1d-d737-4174-a4d9-c367117423db,1,today,/Volumes/Disc/1Pictures/Flashcard/today.jpg
212,aaf8b16f-f88a-44a4-b327-de45cc449f58,1,degree,/Volumes/Disc/1Pictures/Flashcard/degree.jpg
251,09ed91b1-c09b-4bb9-aba5-3bef453233d8,1,better,/Volumes/Disc/1Pictures/Flashcard/better.jpg
263,674c0879-b423-41e1-8471-510e8d567cf7,1,enjoy your meal!,/Volumes/Disc/1Pictures/Flashcard/enjoy your meal.jpg
268,279e6500-caec-4bfa-8f4c-2264d79ea3c7,1,knife,/Volumes/Disc/1Pictures/Flashcard/knife.jpg
820,16656e26-768c-4956-b5fb-28122564d947,1,to rest,/Volumes/Disc/1Pictures/Flashcard/rest.jpg
931,6cc03bdf-adde-4b13-b91d-922445fe3f78,1,"truly, really","/Volumes/Disc/1Pictures/Flashcard/truly, really.jpg"
305,ac74b89e-4117-46f6-915c-006a333bc2c9,1,only,/Volumes/Disc/1Pictures/Flashcard/only.jpg
308,81acb9a3-33e0-4867-9b44-c4f3560c0081,1,or,/Volumes/Disc/1Pictures/Flashcard/or.jpg
847,24986750-2cf0-47dc-8657-427191c5c66d,1,"vacations, holidays","/Volumes/Disc/1Pictures/Flashcard/vacations, holidays.jpg"
878,99ebc0cc-a47e-4b32-9244-1adbf9f4b6ca,1,"I would like to, I'm willing to","/Volumes/Disc/1Pictures/Flashcard/I would like to, Im willing to.jpg"
974,07636140-c603-44ca-8e69-816f0b8b46c2,1,wide,/Volumes/Disc/1Pictures/Flashcard/wide.jpg
936,cb61cc58-1b22-430d-8005-ab97b89686f4,1,to stop (doing something),/Volumes/Disc/1Pictures/Flashcard/stop (doing something).jpg
1026,1a333ebb-ae36-46cf-ab1c-223accd4cf21,1,newspaper,/Volumes/Disc/1Pictures/Flashcard/newspaper.jpg
980,e66ed98d-ff9c-44d9-b419-2bf990a6969d,1,full,/Volumes/Disc/1Pictures/Flashcard/full.jpg
944,9469281f-1d83-4be1-88af-79efe835fbc3,1,"mistake, error","/Volumes/Disc/1Pictures/Flashcard/mistake, error.jpg"
539,899eb478-de6c-4c24-8516-c7715d9c240f,1,to understand,/Volumes/Disc/1Pictures/Flashcard/understand.jpg
571,ff41b8ba-0a37-4ddd-930a-7c7bf9c8d243,1,water,/Volumes/Disc/1Pictures/Flashcard/water.jpg
1019,013e36d9-91ef-4191-94b5-414bd6aedac7,1,goal,/Volumes/Disc/1Pictures/Flashcard/goal.jpg
622,3221febc-7e84-46c2-b0e6-91c6f916e38c,1,toothpaste,/Volumes/Disc/1Pictures/Flashcard/toothpaste.jpg
1040,612faa14-773b-4a22-9da6-fb98c44b5b50,1,a little,/Volumes/Disc/1Pictures/Flashcard/a little.jpg
2328,63573af5-7989-49d1-8471-55826e549878,2,anywhere,/Volumes/Disc/1Pictures/Flashcard/anywhere.jpg
971,891eead6-1bfc-4ba3-b365-5e5c9dcd0679,1,exactly,/Volumes/Disc/1Pictures/Flashcard/exactly.jpg
2409,dcc818df-21a7-4ab6-b0c1-d34ae297a6a9,2,Excuse me,/Volumes/Disc/1Pictures/Flashcard/excuse me.jpg
1811,0026cf8c-560d-4f1e-b229-b7439250e599,2,policeman (slang),/Volumes/Disc/1Pictures/Flashcard/policeman.jpg
752,da963e9c-626c-46b2-9b6b-84009393e23a,1,shirt,/Volumes/Disc/1Pictures/Flashcard/shirt.jpg
1890,f95c43c6-02d7-4b87-9185-000a36bdde38,2,past,/Volumes/Disc/1Pictures/Flashcard/past.jpg
1517,c113ecba-437f-42cc-b563-174dbe63a664,2,door (of vehicle),/Volumes/Disc/1Pictures/Flashcard/door.jpg
1358,0c0788cc-e27d-4b97-94af-6633f660a269,2,fridge (slang),/Volumes/Disc/1Pictures/Flashcard/fridge.jpg
805,b88cc329-42f1-4574-a531-281e620dbd33,1,to sleep,/Volumes/Disc/1Pictures/Flashcard/sleep.jpg
